Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
897.0,45510.0,90684.0,452163.0,905295.0
905.0,45592.0,90454.0,451706.0,905505.0
926.0,45100.0,90532.0,451095.0,901989.0
868.0,45269.0,89996.0,452054.0,904349.0
913.0,45289.0,90589.0,451966.0,900743.0
945.0,45067.0,90538.0,450781.0,901271.0
866.0,44959.0,89985.0,449415.0,900473.0
870.0,44654.0,90021.0,449138.0,898757.0
875.0,44657.0,90034.0,448985.0,897726.0
917.0,45002.0,89933.0,449884.0,897020.0
909.0,44847.0,89457.0,448658.0,897693.0
868.0,45082.0,89584.0,448473.0,896168.0
858.0,44650.0,89815.0,447453.0,894885.0
877.0,44440.0,89720.0,447410.0,892915.0
905.0,44923.0,89342.0,444997.0,894754.0
886.0,44970.0,89188.0,444066.0,891316.0
852.0,44394.0,88982.0,445708.0,891365.0
881.0,44883.0,88692.0,444143.0,888691.0
930.0,43906.0,88552.0,444503.0,888156.0
932.0,44470.0,89080.0,444324.0,885617.0
867.0,44334.0,88634.0,443715.0,885360.0
884.0,44255.0,88686.0,443000.0,885232.0
919.0,43716.0,88315.0,442654.0,882738.0
927.0,44160.0,87932.0,440590.0,882177.0
882.0,44040.0,87744.0,439534.0,879222.0
832.0,43879.0,88196.0,438914.0,878202.0
887.0,43698.0,87895.0,439569.0,878822.0
888.0,43842.0,87351.0,437888.0,877217.0
914.0,43724.0,87201.0,438442.0,874048.0
914.0,43426.0,87404.0,435066.0,874766.0
898.0,43824.0,87025.0,435619.0,871541.0
890.0,43682.0,86906.0,435062.0,870966.0
894.0,43465.0,87417.0,434419.0,867711.0
836.0,43112.0,86691.0,433082.0,866379.0
899.0,43752.0,86311.0,431961.0,864539.0
895.0,43039.0,85733.0,432465.0,861855.0
812.0,42781.0,86066.0,430461.0,861432.0
878.0,43008.0,86021.0,429392.0,857891.0
878.0,42809.0,85987.0,428593.0,857125.0
841.0,42997.0,86042.0,427486.0,855150.0
882.0,42801.0,84830.0,425638.0,853484.0
880.0,42788.0,84756.0,425873.0,851719.0
884.0,42518.0,85167.0,424078.0,848075.0
814.0,42353.0,84545.0,423767.0,845854.0
797.0,41896.0,84706.0,421755.0,843233.0
826.0,42342.0,83687.0,421472.0,840875.0
822.0,41881.0,83746.0,418797.0,839083.0
819.0,42239.0,83362.0,418182.0,836480.0
864.0,41708.0,83500.0,416868.0,834242.0
791.0,41574.0,82942.0,416534.0,829989.0
819.0,41443.0,82986.0,415152.0,828710.0
810.0,41110.0,82321.0,414274.0,824874.0
822.0,41255.0,82043.0,411135.0,822784.0
833.0,40892.0,81845.0,409765.0,819423.0
779.0,40678.0,82172.0,407861.0,816302.0
810.0,40621.0,81698.0,406266.0,813828.0
787.0,40590.0,80756.0,405921.0,811076.0
802.0,40553.0,80784.0,402958.0,806676.0
835.0,40311.0,80380.0,402463.0,805373.0
861.0,39620.0,80245.0,400441.0,799405.0
807.0,39776.0,79652.0,398779.0,797150.0
746.0,39609.0,79194.0,396173.0,793255.0
729.0,39580.0,78756.0,395533.0,790595.0
778.0,39156.0,78130.0,393731.0,788194.0
